NOC,Gold,Silver,Bronze,Total,source_file
AUS,18,19,16,53,Paris 2024 Olympics_Nations Medals.csv
FRA,16,26,22,64,Paris 2024 Olympics_Nations Medals.csv
NED,15,7,12,34,Paris 2024 Olympics_Nations Medals.csv
GBR,14,22,29,65,Paris 2024 Olympics_Nations Medals.csv
KOR,13,9,10,32,Paris 2024 Olympics_Nations Medals.csv
ITA,12,13,15,40,Paris 2024 Olympics_Nations Medals.csv
GER,12,13,8,33,Paris 2024 Olympics_Nations Medals.csv
NZL,10,7,3,20,Paris 2024 Olympics_Nations Medals.csv
CAN,9,7,11,27,Paris 2024 Olympics_Nations Medals.csv
UZB,8,2,3,13,Paris 2024 Olympics_Nations Medals.csv
HUN,6,7,6,19,Paris 2024 Olympics_Nations Medals.csv
ESP,5,4,9,18,Paris 2024 Olympics_Nations Medals.csv
SWE,4,4,3,11,Paris 2024 Olympics_Nations Medals.csv
KEN,4,2,5,11,Paris 2024 Olympics_Nations Medals.csv
NOR,4,1,3,8,Paris 2024 Olympics_Nations Medals.csv
IRL,4,0,3,7,Paris 2024 Olympics_Nations Medals.csv
BRA,3,7,10,20,Paris 2024 Olympics_Nations Medals.csv
IRI,3,6,3,12,Paris 2024 Olympics_Nations Medals.csv
UKR,3,5,4,12,Paris 2024 Olympics_Nations Medals.csv
ROU,3,4,2,9,Paris 2024 Olympics_Nations Medals.csv
GEO,3,3,1,7,Paris 2024 Olympics_Nations Medals.csv
BEL,3,1,6,10,Paris 2024 Olympics_Nations Medals.csv
BUL,3,1,3,7,Paris 2024 Olympics_Nations Medals.csv
SRB,3,1,1,5,Paris 2024 Olympics_Nations Medals.csv
CZE,3,0,2,5,Paris 2024 Olympics_Nations Medals.csv
DEN,2,2,5,9,Paris 2024 Olympics_Nations Medals.csv
CRO,2,2,3,7,Paris 2024 Olympics_Nations Medals.csv
AZE,2,2,3,7,Paris 2024 Olympics_Nations Medals.csv
CUB,2,1,6,9,Paris 2024 Olympics_Nations Medals.csv
BRN,2,1,1,4,Paris 2024 Olympics_Nations Medals.csv
SLO,2,1,0,3,Paris 2024 Olympics_Nations Medals.csv
TPE,2,0,5,7,Paris 2024 Olympics_Nations Medals.csv
AUT,2,0,3,5,Paris 2024 Olympics_Nations Medals.csv
PHI,2,0,2,4,Paris 2024 Olympics_Nations Medals.csv
HKG,2,0,2,4,Paris 2024 Olympics_Nations Medals.csv
INA,2,0,1,3,Paris 2024 Olympics_Nations Medals.csv
ALG,2,0,1,3,Paris 2024 Olympics_Nations Medals.csv
ISR,1,5,1,7,Paris 2024 Olympics_Nations Medals.csv
POL,1,4,5,10,Paris 2024 Olympics_Nations Medals.csv
KAZ,1,3,3,7,Paris 2024 Olympics_Nations Medals.csv
JAM,1,3,2,6,Paris 2024 Olympics_Nations Medals.csv
THA,1,3,2,6,Paris 2024 Olympics_Nations Medals.csv
RSA,1,3,2,6,Paris 2024 Olympics_Nations Medals.csv
AIN,1,3,1,5,Paris 2024 Olympics_Nations Medals.csv
ETH,1,3,0,4,Paris 2024 Olympics_Nations Medals.csv
SUI,1,2,5,8,Paris 2024 Olympics_Nations Medals.csv
ECU,1,2,2,5,Paris 2024 Olympics_Nations Medals.csv
POR,1,2,1,4,Paris 2024 Olympics_Nations Medals.csv
GRE,1,1,6,8,Paris 2024 Olympics_Nations Medals.csv
ARG,1,1,1,3,Paris 2024 Olympics_Nations Medals.csv
EGY,1,1,1,3,Paris 2024 Olympics_Nations Medals.csv
TUN,1,1,1,3,Paris 2024 Olympics_Nations Medals.csv
LCA,1,1,0,2,Paris 2024 Olympics_Nations Medals.csv
CHI,1,1,0,2,Paris 2024 Olympics_Nations Medals.csv
UGA,1,1,0,2,Paris 2024 Olympics_Nations Medals.csv
BOT,1,1,0,2,Paris 2024 Olympics_Nations Medals.csv
DOM,1,0,1,2,Paris 2024 Olympics_Nations Medals.csv
MAR,1,0,1,2,Paris 2024 Olympics_Nations Medals.csv
PAK,1,0,0,1,Paris 2024 Olympics_Nations Medals.csv
DMA,1,0,0,1,Paris 2024 Olympics_Nations Medals.csv
TUR,0,3,5,8,Paris 2024 Olympics_Nations Medals.csv
MEX,0,3,2,5,Paris 2024 Olympics_Nations Medals.csv
COL,0,3,1,4,Paris 2024 Olympics_Nations Medals.csv
ARM,0,3,1,4,Paris 2024 Olympics_Nations Medals.csv
PRK,0,2,4,6,Paris 2024 Olympics_Nations Medals.csv
KGZ,0,2,4,6,Paris 2024 Olympics_Nations Medals.csv
LTU,0,2,2,4,Paris 2024 Olympics_Nations Medals.csv
IND,0,1,5,6,Paris 2024 Olympics_Nations Medals.csv
MDA,0,1,3,4,Paris 2024 Olympics_Nations Medals.csv
KOS,0,1,1,2,Paris 2024 Olympics_Nations Medals.csv
PAN,0,1,0,1,Paris 2024 Olympics_Nations Medals.csv
JOR,0,1,0,1,Paris 2024 Olympics_Nations Medals.csv
CYP,0,1,0,1,Paris 2024 Olympics_Nations Medals.csv
MGL,0,1,0,1,Paris 2024 Olympics_Nations Medals.csv
FIJ,0,1,0,1,Paris 2024 Olympics_Nations Medals.csv
TJK,0,0,3,3,Paris 2024 Olympics_Nations Medals.csv
